codigo,nome,populacao,idhm,rdpc,seca,enchente,calor,ameaca,capacidade,peso,cluster,arquetipo,ameaca_futura,tendencia
2916856,Itatim,14588,0.582,245.37,0.46476240214860615,0.254030829939709,0.36980111229868057,0.6191297642910106,0.582,0.002399256107924583,0,Seca (sertao) (baixa),0.45726828359164695,Estavel
2916906,Itiruçu,12482,0.6,309.83,0.35310980598190217,0.1336565211523233,0.4851993011336386,0.679557078353128,0.6,0.002554421735168104,0,Seca (sertao) (baixa),0.7113228971889765,Estavel
2917003,Itiúba,36140,0.544,205.18,0.7002955171086802,0.2969207202738218,0.6663317751746631,0.8678846924027375,0.544,0.0035981647077115183,2,Seca (sertao) (moderada),0.8390316029463507,Estavel
2917102,Itororó,20394,0.594,330.0,0.46838856931264233,0.4759104871226329,0.4896624765888755,0.5207195569909506,0.594,0.001977130586899978,0,Seca (sertao) (baixa),0.38396739591688056,Estavel
2917201,Ituaçu,19095,0.57,269.3,0.5312243741872031,0.32049138864167764,0.7661411504007994,0.7861187184934413,0.57,0.003110507068591175,2,Seca (sertao) (moderada),0.8098704909119702,Estavel
2917300,Ituberá,28870,0.606,337.03,0.10398232507356163,0.8595374776588994,0.21964849408173637,0.02,0.606,7.443467256609933e-05,1,Enchente / chuva extrema (moderada),0.0,Estavel
2917334,Iuiu,11038,0.591,249.32,0.7424662427601258,0.3988475054879002,0.5437409817498747,0.7724726990838341,0.591,0.00294790558105491,2,Seca (sertao) (moderada),0.9163778476150671,Estavel
2917359,Jaborandi,8176,0.613,281.14,0.8434919218690748,0.4701363932244564,0.6598027040480104,0.8381331359521115,0.613,0.003083688117298892,2,Seca (sertao) (moderada),1.0,Estavel
2917409,Jacaraci,14855,0.593,283.51,0.6582015378233761,0.3604698127224999,0.5993672299830094,0.768610526005362,0.593,0.002923274143123465,2,Seca (sertao) (moderada),0.8330551880050016,Estavel
2917508,Jacobina,80749,0.649,417.88,0.8466139138528783,0.4472705123175276,0.4360232665930761,0.7598595603778021,0.649,0.002640623877442433,2,Seca (sertao) (moderada),0.923673712857577,Agravando
2917607,Jaguaquara,54913,0.58,307.08,0.34603235159283435,0.17711871687025627,0.4405227114511177,0.6260632228004634,0.58,0.00243449064335057,0,Seca (sertao) (baixa),0.635991218801527,Estavel
2917706,Jaguarari,33915,0.659,439.23,0.7437487470443683,0.2228021558148654,0.5568291707101464,0.8996109168208776,0.659,0.003078840658759709,2,Seca (sertao) (moderada),0.7771465191336944,Estavel
2917805,Jaguaripe,19162,0.556,247.75,0.1782765432194596,0.7206332936567716,0.19057328875814103,0.03867469348421301,0.556,0.00015688087378880756,1,Enchente / chuva extrema (moderada),0.0,Estavel
2917904,Jandaíra,10742,0.55,192.11,0.25220665149149796,0.8255128779793965,0.08398963554055083,0.02,0.55,8.201347559101125e-05,1,Enchente / chuva extrema (moderada),0.0,Estavel
2918001,Jequié,156277,0.665,473.92,0.3539447152567487,0.21765738538540869,0.3398504878825673,0.560174690929202,0.665,0.0018998519050882265,3,Enchente / chuva extrema (baixa),0.5428795671423011,Estavel
2918100,Jeremoabo,40832,0.547,262.76,0.5214460110413284,0.30818643776181875,0.14955071627667907,0.5239018475831413,0.547,0.002160133113698822,0,Seca (sertao) (baixa),0.35800310966990134,Estavel
2918209,Jiquiriçá,14576,0.553,257.95,0.29578830535158906,0.42248659312325804,0.2710124893968149,0.3529311839158622,0.553,0.0014394043553855919,0,Seca (sertao) (baixa),0.19865580393512197,Estavel
2918308,Jitaúna,10470,0.575,266.56,0.3904507572746573,0.22966456723646222,0.22658317486707716,0.5267810622423577,0.575,0.0020662374073488108,0,Seca (sertao) (baixa),0.4919179699205217,Estavel
2918357,João Dourado,25606,0.593,283.12,0.9016114792379817,0.28819549607620715,0.4894275613340971,0.92708906437048,0.593,0.0035260192237177913,2,Seca (sertao) (moderada),0.8856503211020658,Estavel
2918407,Juazeiro,219544,0.677,476.58,0.867248310767815,0.11766001332158775,0.3202395504248333,0.9494377863191246,0.677,0.0031629749625115954,2,Seca (sertao) (moderada),0.6494377863191245,Melhorando
2918456,Jucuruçu,8856,0.541,188.8,0.2049713076732698,0.6379648627428106,0.4118344324537677,0.20734442910326908,0.541,0.000864396534321277,1,Enchente / chuva extrema (moderada),0.507344429103269,Agravando
2918506,Jussara,15241,0.571,236.05,0.9455205352762382,0.2772350275739045,0.5457037266578798,0.9868870580577654,0.571,0.0038980666117257447,2,Seca (sertao) (moderada),0.9449806705393211,Estavel
2918555,Jussari,5706,0.567,290.22,0.25870425161507554,0.6446090486192462,0.6244556683784188,0.3284089071429025,0.567,0.0013063206119408566,1,Enchente / chuva extrema (moderada),0.5698433275546875,Agravando
2918605,Jussiape,5777,0.602,334.07,0.4887251236787252,0.22767833353114067,0.553445765933943,0.7313059548009224,0.602,0.002739810522466333,0,Seca (sertao) (baixa),0.7704253651697703,Estavel
2918704,Lafaiete Coutinho,3663,0.599,288.05,0.3694663137968365,0.15270203703907942,0.4547830577995627,0.6639438258044275,0.599,0.0024998987824104944,0,Seca (sertao) (baixa),0.6785714277239226,Estavel
2918753,Lagoa Real,15870,0.545,223.11,0.6341376047082911,0.3650764391480982,0.628581879162507,0.7625499826074382,0.545,0.0031556565056904268,2,Seca (sertao) (moderada),0.8286184895880896,Estavel
2918803,Laje,24214,0.586,241.63,0.2627869713365679,0.542630445537679,0.240453495397171,0.23629328558585028,0.586,0.000909435024346693,1,Enchente / chuva extrema (moderada),0.0618604320572774,Estavel
2918902,Lajedão,3993,0.632,463.94,0.32888457082545536,0.6498063403424525,0.33579902098777376,0.24607085987133384,0.632,0.0008781344582946387,1,Enchente / chuva extrema (moderada),0.5460708598713339,Agravando
2919009,Lajedinho,3735,0.546,205.65,0.547633109852788,0.46266221038491084,0.3817910292748812,0.5343579776830774,0.546,0.002207280698513302,0,Seca (sertao) (baixa),0.4358035598751805,Estavel
2919058,Lajedo do Tabocal,8591,0.584,237.39,0.3682702001856379,0.14982486036900802,0.46669660446069394,0.6702579753106856,0.584,0.002588493352209157,0,Seca (sertao) (baixa),0.6882652539590943,Estavel
2919108,Lamarão,8078,0.518,180.82,0.6996066793615824,0.03520846864551575,0.5867016240812818,1.0,0.518,0.004353997256279555,2,Seca (sertao) (moderada),1.0,Estavel
2919157,Lapão,27323,0.596,244.43,0.9165848396716384,0.2914306522188432,0.526002570959639,0.9501540073241898,0.596,0.003595552673495066,2,Seca (sertao) (moderada),0.9111195578654122,Estavel
2919207,Lauro de Freitas,204669,0.754,1031.78,0.05816663950946102,0.8901797414481065,0.05292261518858687,0.02,0.754,5.9824153282567894e-05,3,Enchente / chuva extrema (baixa),0.0,Estavel
